benchmark_type,model,length,realization,estimator,hurst_parameter,execution_time,success,r_squared,slope,intercept,p_value,std_error,block_sizes,rs_values,log_block_sizes,log_rs_values,confidence_interval,method,optimization_framework,absolute_error,squared_error,param_H,scales,fluctuation_values,log_scales,log_fluctuations,window_sizes,fractal_dimension,k_values,curve_lengths,log_k_values,log_curve_lengths,generalized_hurst_exponents,q_values,tau_values,moments,std_errors,backend_used,data_length,n_tau,n_q,d_parameter,m,log_regressor,log_periodogram,frequency,periodogram,beta,log_freq,log_psd,scale_parameter,optimization_success,frequencies,wavelet_type,scale_powers,power_log_variances,bias_correction,wavelet_variances,scale_logs,log_variance_values,q_orders,h_qs,tau_qs,alpha,f_alpha,fluctuations,width,peak_location
Classical,fgn,512,0,RS,0.7769776322406765,1.9156014919281006,True,0.9955673904886578,0.7769776322406765,-0.6988322089418291,1.0574685216397444e-10,0.018329808531642615,"[10, 13, 17, 23, 31, 41, 54, 72, 96, 127]","[3.1495628296234535, 3.756309038079072, 4.488692972405569, 5.425126210699381, 6.60890616667663, 8.820099385306742, 10.934841972284245, 13.951352246773821, 16.926235066405276, 22.919453747504964]","[2.302585092994046, 2.5649493574615367, 2.833213344056216, 3.1354942159291497, 3.4339872044851463, 3.713572066704308, 3.9889840465642745, 4.276666119016055, 4.564348191467836, 4.844187086458591]","[1.1472636589595944, 1.3234368364701308, 1.501561561917289, 1.6910411638009528, 1.8884181585779678, 2.1770331381305823, 2.391954202472797, 2.6355764388220604, 2.828864789040246, 3.1319860585566364]","[0.7347090179692081, 0.819246246512145]",rs_analysis,jax,0.07697763224067655,0.005925555865380846,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical,fgn,512,0,DFA,0.7559843801675745,1.5933027267456055,True,0.9813297269630596,0.7559843801675745,-1.9287021506935402,3.347573580358216e-08,0.03686682063535033,,,,,,jax,jax,0.055984380167574566,0.0031342508227475163,0.7,"[10, 13, 17, 23, 31, 41, 54, 72, 96, 127]","[0.8864814800573213, 1.0208087934231045, 1.2622374345851801, 1.4727233467933356, 1.5692319833235686, 2.673548683584183, 2.96634985386115, 3.906552328109656, 4.791291669816247, 5.468364816299767]","[2.302585092994046, 2.5649493574615367, 2.833213344056216, 3.1354942159291497, 3.4339872044851463, 3.713572066704308, 3.9889840465642745, 4.276666119016055, 4.564348191467836, 4.844187086458591]","[-0.12049504476638795, 0.02059524781805761, 0.2328858879322786, 0.3871133036788031, 0.4505863170749225, 0.9834066849226141, 1.0873321915341172, 1.362655227503731, 1.5668000347405528, 1.6989796350523259]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical,fgn,512,0,DMA,0.7497921801114313,0.6989004611968994,True,0.9963224441957826,0.7497921801114313,-0.8059574113074315,5.0088153123610024e-11,0.0161055511723121,,,,,"[0.7126527125083373, 0.7869316477145254]",jax,jax,0.04979218011143138,0.002479261200249223,0.7,"[4, 5, 8, 12, 18, 27, 40, 59, 87, 127]","[1.1806292407402081, 1.440137603394179, 2.122256310163079, 2.967945054537552, 4.129584177775187, 5.673864304025731, 7.538226178797503, 9.57589272162337, 12.163102566727527, 15.61599244375089]","[1.3862943611198906, 1.6094379124341003, 2.0794415416798357, 2.4849066497880004, 2.8903717578961645, 3.295836866004329, 3.6888794541139363, 4.07753744390572, 4.465908118654584, 4.844187086458591]","[0.16604755121230663, 0.3647386669351671, 0.7524798199678745, 1.0878698125116548, 1.4181767185566205, 1.7358704207016213, 2.019986899541721, 2.259248765354926, 2.4984069892840894, 2.7482955457919624]","[4, 5, 8, 12, 18, 27, 40, 59, 87, 127]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical,fgn,512,0,Higuchi,0.7052437267936102,0.0031518936157226562,True,0.999188972279733,-1.2947562732063898,6.049273259282604,4.422766671560151e-12,0.013942255491743796,,,,,"{'hurst_parameter': (np.float64(0.6722755313359302), np.float64(0.7382119222512903)), 'fractal_dimension': (np.float64(1.2617880777487096), np.float64(1.32772446866407))}",higuchi_numpy,numpy,0.005243726793610293,2.749667068602648e-05,0.7,,,,,,1.2947562732063898,"[2, 3, 4, 5, 6, 8, 9, 11, 13]","[1.4062902785990876, 1.7943798583114228, 2.156727092046908, 2.511189707419411, 2.866789855378155, 3.561391268465852, 3.939508282169404, 4.563055531625424, 5.180284306083805]","[0.6931471805599453, 1.0986122886681098, 1.3862943611198906, 1.6094379124341003, 1.791759469228055, 2.0794415416798357, 2.1972245773362196, 2.3978952727983707, 2.5649493574615367]","[0.3409552291197541, 0.5846594794124367, 0.7685918374028569, 0.9207566278670141, 1.053192886474381, 1.2701512742680974, 1.371055914041643, 1.5179924718526767, 1.6448599401096102]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical,fgn,512,0,GHE,0.03491462479251865,2.4466261863708496,True,[0.54377115 0.61386623 0.62582757 0.59866926 0.55186118],,,,,,,,,,GHE,,0.6650853752074813,0.44233855631487623,0.7,,,,,,,,,,,[0.0356828  0.03491462 0.0349601  0.03529652 0.0357785 ],[1 2 3 4 5],"[ 2  3  4  5  6  7  8  9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49
 50]","[[ 1.1204129   1.1513262   1.11739577  1.11999547  1.12983307  1.09347521
   1.12114522  1.13241869  1.12643568  1.15077919  1.19078446  1.18310654
   1.16976638  1.17205988  1.15337655  1.13006441  1.1387191   1.18111964
   1.19322123  1.17350168  1.16712681  1.15858555  1.24070517  1.21919304
   1.19305367  1.1663206   1.15064144  1.20706891  1.23824266  1.20073551
   1.21209314  1.21563215  1.20591764  1.17175352  1.23913256  1.22084666
   1.24357639  1.23421021  1.23003446  1.26722055  1.23274209  1.22961267
   1.23509018  1.18819853  1.22142329  1.2547743   1.26547661  1.15196893
   1.14520335]
 [ 1.95319512  2.04819494  1.95392353  1.97447138  1.96531699  1.86964225
   1.95020166  2.00834888  1.97690302  2.05336494  2.20282647  2.12899518
   2.21124488  2.1468629   2.09157047  2.02846531  2.04007218  2.17682075
   2.17766235  2.19965602  2.15520764  2.14239334  2.34306923  2.26846619
   2.18637491  2.18143958  2.15061462  2.24937821  2.31949568  2.22754119
   2.2626457   2.39240183  2.34933676  2.27941949  2.42205508  2.30043048
   2.4059465   2.37037419  2.37262384  2.40493617  2.36997748  2.30154947
   2.35305826  2.17893157  2.27716613  2.37925029  2.41095577  2.13755277
   2.016715  ]
 [ 4.25335077  4.44631921  4.28632942  4.38234251  4.21212476  4.04924983
   4.27840232  4.57196239  4.44551033  4.63332572  5.09253676  4.78691631
   5.33937327  4.96585795  4.84625886  4.70251984  4.71988163  5.15398922
   4.8998193   5.20365738  5.10688375  5.1003282   5.42852971  5.21052769
   4.99590768  5.21239486  5.08496965  5.23879669  5.34049078  5.07708152
   5.28892416  6.07986792  5.85733764  5.69803351  6.06543479  5.42871465
   5.91678353  5.65357605  5.75597117  5.69574025  5.75369246  5.36892158
   5.54919039  5.03298416  5.37506135  5.64000873  5.69738428  4.98714259
   4.4584586 ]
 [10.74750402 10.89195642 10.83942498 11.27467855 10.23587164 10.24965308
  10.94109941 12.40981042 11.86054838 12.31260297 13.54776872 12.421494
  15.08477932 13.30194213 13.20822176 12.91277651 12.97605026 14.45112259
  12.54347182 14.33007646 14.34764007 14.41796331 14.32640564 13.68079581
  13.27858024 14.77967863 13.9402807  14.06822823 14.09849221 13.17556226
  14.28996929 18.14331611 17.14796996 16.57719865 17.79813998 14.82222268
  17.02295566 15.4725898  16.08293002 15.77954965 16.4969935  14.4100273
  15.07473067 13.5668274  15.00611695 15.44654943 15.50979533 13.45517769
  11.41989271]
 [30.33155173 28.94193635 30.28466094 32.24778547 27.05983649 29.00550691
  31.19344386 38.58855072 35.94280914 37.15482753 39.72244074 35.59761434
  47.62222801 39.30013552 40.55562064 40.15120734 40.18300949 45.53445936
  35.09593774 44.03471928 45.87600981 46.25014041 41.42653577 39.52283812
  39.71585112 48.03590773 42.48940879 41.7800808  41.15103422 37.56171056
  42.81853947 60.47083886 56.23909639 53.41510693 58.20239881 44.83587281
  54.54372467 46.86381922 49.66443174 49.15245468 53.64739461 42.80474062
  45.46701722 40.90824861 47.71348348 46.83471103 46.83692463 40.24441842
  32.48771112]]",[0.00476753 0.00403915 0.00394305 0.00421542 0.00470289],numba,512.0,49.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classical,fgn,512,0,GPH,0.99,0.5547628402709961,True,0.2746877826670264,-0.4252967422412151,-0.8501904655684596,,,,,,,,jax,jax,0.29000000000000004,0.08410000000000002,0.7,,,,,,,,,,,,,,,,,,,,0.5055848466272197,18.0,"[-8.80090767 -7.41465096 -6.60378349 -6.0285072  -5.58233305 -5.21782799
 -4.9096898  -4.64281529 -4.4074626  -4.19698007 -4.00662333 -3.83288932
 -3.67311778 -3.52524083 -3.38761923 -3.25893147 -3.13809665 -3.02421941]","[ 2.64131947  3.08144823  0.96761144  0.86773681  1.68000485  3.35490523
 -0.26709274  2.29141176  2.41166025 -0.51314912  1.50575928  0.73811799
  1.11735184  0.44593733  0.03564026 -1.57132136  0.69911386  1.63750359]","[0.00195312 0.00390625 0.00585938 0.0078125  0.00976562 0.01171875
 0.01367188 0.015625   0.01757812 0.01953125 0.02148438 0.0234375
 0.02539062 0.02734375 0.02929688 0.03125    0.03320312 0.03515625]","[14.03170576 21.78993636  2.63165109  2.38151492  5.36558199 28.64288949
  0.76560207  9.88888856 11.15246162  0.59860752  4.50757485  2.09199466
  3.05674872  1.56195358  1.03628299  0.20777046  2.01196902  5.14231613]",,,,,,,,,,,,,,,,,,,,,
Classical,fgn,512,0,Periodogram,0.7400105946245437,0.2648155689239502,True,0.9603442326278346,-0.4800211892490873,-0.44643820970396764,0.12762811516525885,0.0975439013143226,,,,,,periodogram,jax,0.040010594624543705,0.0016008476822095656,0.7,,,,,,,,,,,,,,,,,,,,,3.0,,,[0.015625 0.03125  0.046875],[4.81987682 3.17503265 2.89097144],0.4800211892490873,[-4.15888308 -3.4657359  -3.06027079],[1.57274837 1.15531791 1.06159258],,,,,,,,,,,,,,,,,,
Classical,fgn,512,0,Whittle,0.7116400061971733,0.31022095680236816,True,,,,,,,,,,,Whittle_JAX,jax,0.011640006197173314,0.00013548974427023315,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.641087741102485,True,"[0.01171875, 0.013671875, 0.015625, 0.017578125, 0.01953125, 0.021484375, 0.0234375, 0.025390625, 0.02734375, 0.029296875, 0.03125, 0.033203125, 0.03515625, 0.037109375, 0.0390625, 0.041015625, 0.04296875, 0.044921875, 0.046875, 0.048828125, 0.05078125, 0.052734375, 0.0546875, 0.056640625, 0.05859375, 0.060546875, 0.0625, 0.064453125, 0.06640625, 0.068359375, 0.0703125, 0.072265625, 0.07421875, 0.076171875, 0.078125, 0.080078125, 0.08203125, 0.083984375, 0.0859375, 0.087890625, 0.08984375, 0.091796875, 0.09375, 0.095703125, 0.09765625, 0.099609375, 0.1015625, 0.103515625, 0.10546875, 0.107421875, 0.109375, 0.111328125, 0.11328125, 0.115234375, 0.1171875, 0.119140625, 0.12109375, 0.123046875, 0.125, 0.126953125, 0.12890625, 0.130859375, 0.1328125, 0.134765625, 0.13671875, 0.138671875, 0.140625, 0.142578125, 0.14453125, 0.146484375, 0.1484375, 0.150390625, 0.15234375, 0.154296875, 0.15625, 0.158203125, 0.16015625, 0.162109375, 0.1640625, 0.166015625, 0.16796875, 0.169921875, 0.171875, 0.173828125, 0.17578125, 0.177734375, 0.1796875, 0.181640625, 0.18359375, 0.185546875, 0.1875, 0.189453125, 0.19140625, 0.193359375, 0.1953125, 0.197265625, 0.19921875, 0.201171875, 0.203125, 0.205078125, 0.20703125, 0.208984375, 0.2109375, 0.212890625, 0.21484375, 0.216796875, 0.21875, 0.220703125, 0.22265625, 0.224609375, 0.2265625, 0.228515625, 0.23046875, 0.232421875, 0.234375, 0.236328125, 0.23828125, 0.240234375, 0.2421875, 0.244140625, 0.24609375, 0.248046875, 0.25, 0.251953125, 0.25390625, 0.255859375, 0.2578125, 0.259765625, 0.26171875, 0.263671875, 0.265625, 0.267578125, 0.26953125, 0.271484375, 0.2734375, 0.275390625, 0.27734375, 0.279296875, 0.28125, 0.283203125, 0.28515625, 0.287109375, 0.2890625, 0.291015625, 0.29296875, 0.294921875, 0.296875, 0.298828125, 0.30078125, 0.302734375, 0.3046875, 0.306640625, 0.30859375, 0.310546875, 0.3125, 0.314453125, 0.31640625, 0.318359375, 0.3203125, 0.322265625, 0.32421875, 0.326171875, 0.328125, 0.330078125, 0.33203125, 0.333984375, 0.3359375, 0.337890625, 0.33984375, 0.341796875, 0.34375, 0.345703125, 0.34765625, 0.349609375, 0.3515625, 0.353515625, 0.35546875, 0.357421875, 0.359375, 0.361328125, 0.36328125, 0.365234375, 0.3671875, 0.369140625, 0.37109375, 0.373046875, 0.375, 0.376953125, 0.37890625, 0.380859375, 0.3828125, 0.384765625, 0.38671875, 0.388671875, 0.390625, 0.392578125, 0.39453125, 0.396484375, 0.3984375, 0.400390625, 0.40234375, 0.404296875, 0.40625, 0.408203125, 0.41015625, 0.412109375, 0.4140625, 0.416015625, 0.41796875, 0.419921875, 0.421875, 0.423828125, 0.42578125, 0.427734375, 0.4296875, 0.431640625, 0.43359375, 0.435546875, 0.4375, 0.439453125, 0.44140625, 0.443359375, 0.4453125, 0.447265625, 0.44921875, 0.451171875, 0.453125, 0.455078125, 0.45703125, 0.458984375, 0.4609375, 0.462890625, 0.46484375, 0.466796875, 0.46875, 0.470703125, 0.47265625, 0.474609375, 0.4765625, 0.478515625, 0.48046875, 0.482421875, 0.484375, 0.486328125, 0.48828125, 0.490234375, 0.4921875, 0.494140625, 0.49609375, 0.498046875, 0.5]",,,,,,,,,,,,,,,
Classical,fgn,512,0,CWT,0.7052622504569587,1.6891050338745117,True,0.6130919391793483,0.4105245009139174,-2.9366927502744615,,,,,,,"(0.6972328289749576, 0.7132916719389597)",jax,jax,0.005262250456958717,2.7691279871762226e-05,0.7,"[2.0, 2.3252588129617253, 2.703414273628086, 3.143068932420114, 3.654224367428036, 4.248508707450764, 4.939441156972259, 5.742739540677802, 6.676677863752414, 7.762502021998383, 9.02491311864248, 10.492629382668657, 12.19903947159572, 14.182962020497948, 16.489528716032144, 19.171210984269603, 22.28901364816076, 25.91386270880499, 30.128218820764506, 35.02795316591101, 40.72452839952256, 47.347534282349955, 55.047635681020815, 64.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,morl,"{2.0: 0.11433571264103749, 2.3252588129617253: 0.16564891197838877, 2.703414273628086: 0.17671108087176662, 3.143068932420114: 0.2257675952280738, 3.654224367428036: 0.2700790537012988, 4.248508707450764: 0.29176507283683684, 4.939441156972259: 0.32635512634037694, 5.742739540677802: 0.35459757750924453, 6.676677863752414: 0.37987936837967656, 7.762502021998383: 0.4481847097103496, 9.02491311864248: 0.4594999334877506, 10.492629382668657: 0.33336976254816125, 12.19903947159572: 0.26431113625634367, 14.182962020497948: 0.33442930330396836, 16.489528716032144: 0.3440291889900279, 19.171210984269603: 0.3742251133706965, 22.28901364816076: 0.49660394432327204, 25.91386270880499: 0.5911112986536572, 30.128218820764506: 0.32720877471298115, 35.02795316591101: 0.2681134725351569, 40.72452839952256: 0.40766277560096814, 47.347534282349955: 0.6180786152214235, 55.047635681020815: 1.0626469879220994, 64.0: 1.1772747498046552}","[0.0036922383422137825, 0.005180854839811268, 0.006104744626202826, 0.0031677249229111627, 0.003616018775062932, 0.004083781764734949, 0.00424359459479426, 0.0038326351328904443, 0.0033486898475116747, 0.003928465390602442, 0.002824417560375929, 0.00269251418548075, 0.001408787176598403, 0.002848043687943198, 0.0035646152795986213, 0.0025089622884062203, 0.002779033790090759, 0.0027071241078053545, 0.004145172131910161, 0.0027808981228427017, 0.002539197354171213, 0.003463478941235232, 0.0028089101507103773, 0.0017778505999341482]",0.0,,,,,,,,,,,
Classical,fgn,512,0,WaveletVar,0.5902800573811626,0.578688383102417,True,0.2802907846799779,0.18056011476232528,-0.10822897627299408,,,,,,,,variance,jax,0.10971994261883733,0.012038465808280956,0.7,"[2, 3, 4, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{2: 1.159342269299384, 3: 1.6250804499008222, 4: 1.0293200433497114, 5: 2.256650694115904}",,,,,,,,,,
Classical,fgn,512,0,WaveletLogVar,0.5902800573811626,0.0013608932495117188,True,0.2802907846799779,0.18056011476232528,-0.10822897627299408,,,,,,,,log_variance,jax,0.10971994261883733,0.012038465808280956,0.7,"[2, 3, 4, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{2: 1.159342269299384, 3: 1.6250804499008222, 4: 1.0293200433497114, 5: 2.256650694115904}","[2.0, 3.0, 4.0, 5.0]","[np.float64(0.21330655195573853), np.float64(0.7005111407872506), np.float64(0.04169162476316406), np.float64(1.1741831217343626)]",,,,,,,,
